tariff_rate_id,rate_name,charge_type,master_charge,master_type,decision,unit,date_month,value
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-05,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-06,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-07,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-08,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-09,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-10,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-11,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-12,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2022-01,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2022-02,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2022-03,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2022-04,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2022-05,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2022-06,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2022-07,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2022-08,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2022-09,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2022-10,0.0458
