rate,effective_date,season,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
revenue tax surcharge - delivery,01/01/2005,,,,,,village of pulaski,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of ravena,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of sackets harbor,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of sandy creek,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of scotia,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of skaneateles,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of solvay,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of south glens falls,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of tully,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of victory mills,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of voorheesville,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of west carthage,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,all other municipalities,percent,2.04082,2.04082,2.04082,2.04082,2.04082,2.04082,2.04082,2.04082,2.04082,2.04082,2.04082,2.04082
revenue tax surcharge - commodity,01/01/2005,,,,,,city of albany,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of amsterdam,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of cohoes,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of fulton,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of glens falls,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of gloversville,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of hudson,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of johnstown,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of little falls,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of oneida,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of oswego,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of rensselaer,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of rome,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of saratoga springs,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of schenectady,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of syracuse,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of troy,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of utica,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of watertown,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,city of watervliet,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of adams,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of altamont,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of baldwinsville,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of ballston spa,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of brownsville,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of camillus,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of canajoharie,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of canastota,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of carthage,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of castleton-on-hudson,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of cazenovia,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of central square,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of chittenango,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of clayville,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of colonie,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of deferiet,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of dexter,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of dolgeville,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of east syracuse,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of fayetteville,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
