rate,effective_date,season,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
revenue tax surcharge - commodity,01/01/2005,,,,,,village of sackets harbor,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of sandy creek,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of scotia,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of skaneateles,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of solvay,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of south glens falls,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of tully,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of victory mills,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of voorheesville,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - commodity,01/01/2005,,,,,,village of west carthage,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
revenue tax surcharge - delivery,01/01/2024,,,,,,village of menands,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - commodity,01/01/2024,,,,,,village of menands,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
