occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.826,0.826,0.0,0.0,0.0,0.0,0.881,0.993,0.993,0.0,0.0,0.0,0,0
1.0,0.991,0.991,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.0,0,0
1.0,0.991,0.991,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.0,0,0
1.0,0.991,0.991,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.0,0,0
1.0,0.991,0.991,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.0,0,0
1.0,0.973,0.973,0.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.0669,0,0
1.0,0.973,0.973,0.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.402,0,0
1.0,0.973,0.973,0.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.488,0,0
1.0,0.973,0.973,0.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.434,0,0
1.0,0.79,0.79,0.0,0.0,0.0,0.0,0.965,0.843,0.843,0.0,0.0,0.0859,0,0
1.0,0.79,0.79,0.0,0.0,0.0,0.0,0.965,0.843,0.843,0.0,0.0,0.403,0,0
1.0,0.79,0.79,0.0,0.0,0.0,0.0,0.965,0.843,0.843,0.0,0.0,0.928,0,0
1.0,0.79,0.79,0.0,0.0,0.0,0.0,0.965,0.843,0.843,0.0,0.0,0.0859,0,0
1.0,0.481,0.481,0.0,0.0,0.0,0.0,0.825,0.749,0.749,0.0,0.0,0.0,0,0
1.0,0.481,0.481,0.0,0.0,0.0,0.0,0.825,0.749,0.749,0.0,0.0,0.0859,0,0
1.0,0.481,0.481,0.0,0.0,0.0,0.0,0.825,0.749,0.749,0.0,0.0,0.0,0,0
1.0,0.481,0.481,0.0,0.0,0.0,0.0,0.825,0.749,0.749,0.0,0.0,0.0,0,0
1.0,0.249,0.249,0.0,0.0,0.0,0.0,0.699,0.674,0.674,0.0,0.0,0.0,0,0
1.0,0.249,0.249,0.0,0.0,0.0,0.0,0.699,0.674,0.674,0.0,0.0,0.0,0,0
1.0,0.249,0.249,0.0,0.0,0.0,0.0,0.699,0.674,0.674,0.0,0.0,0.0,0,0
1.0,0.249,0.249,0.0,0.0,0.0,0.0,0.699,0.674,0.674,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
