rate,effective_date,season,min_therms,max_therms,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
gross receipts tax - delivery,04/01/2021,,,,,,,,village of new square,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of nyack,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of piermont,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of pomona,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of sloatsburg,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of south blooming grove,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of south nyack,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of spring valley,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of suffern,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of unionville,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of upper nyack,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of warwick,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of washingtonville,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of wesley hills,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of west haverstraw,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
